Matchname,Half,Time,Player1Name,Player1ClubName,XPos,Ypos
Arsenal v Manchester City,Second Half,1906.20,Aleksandar KOLAROV,Manchester City,0.22,34.50
Arsenal v Manchester City,Second Half,1906.30,Aleksandar KOLAROV,Manchester City,0.22,34.50
Arsenal v Manchester City,Second Half,1906.40,Aleksandar KOLAROV,Manchester City,0.22,34.50
Arsenal v Manchester City,Second Half,1906.50,Aleksandar KOLAROV,Manchester City,0.22,34.50
Arsenal v Manchester City,Second Half,1906.60,Aleksandar KOLAROV,Manchester City,0.22,34.50
Arsenal v Manchester City,Second Half,1906.70,Aleksandar KOLAROV,Manchester City,0.22,34.50
Arsenal v Manchester City,Second Half,1906.80,Aleksandar KOLAROV,Manchester City,0.22,34.50
Arsenal v Manchester City,Second Half,1906.90,Aleksandar KOLAROV,Manchester City,0.22,34.50
Arsenal v Manchester City,Second Half,1907.00,Aleksandar KOLAROV,Manchester City,0.24,34.49
Arsenal v Manchester City,Second Half,1907.10,Aleksandar KOLAROV,Manchester City,0.29,34.46
Arsenal v Manchester City,Second Half,1907.20,Aleksandar KOLAROV,Manchester City,0.37,34.41
Arsenal v Manchester City,Second Half,1907.30,Aleksandar KOLAROV,Manchester City,0.47,34.34
Arsenal v Manchester City,Second Half,1907.40,Aleksandar KOLAROV,Manchester City,0.61,34.25
Arsenal v Manchester City,Second Half,1907.50,Aleksandar KOLAROV,Manchester City,0.79,34.14
Arsenal v Manchester City,Second Half,1907.60,Aleksandar KOLAROV,Manchester City,0.98,34.02
Arsenal v Manchester City,Second Half,1907.70,Aleksandar KOLAROV,Manchester City,1.18,33.89
Arsenal v Manchester City,Second Half,1907.80,Aleksandar KOLAROV,Manchester City,1.39,33.76
Arsenal v Manchester City,Second Half,1907.90,Aleksandar KOLAROV,Manchester City,1.45,33.67
Arsenal v Manchester City,Second Half,1908.00,Aleksandar KOLAROV,Manchester City,1.51,33.56
Arsenal v Manchester City,Second Half,1908.10,Aleksandar KOLAROV,Manchester City,1.56,33.41
Arsenal v Manchester City,Second Half,1908.20,Aleksandar KOLAROV,Manchester City,1.60,33.22
Arsenal v Manchester City,Second Half,1908.30,Aleksandar KOLAROV,Manchester City,1.60,33.04
Arsenal v Manchester City,Second Half,1908.40,Aleksandar KOLAROV,Manchester City,1.56,32.87
Arsenal v Manchester City,Second Half,1908.50,Aleksandar KOLAROV,Manchester City,1.65,32.65
Arsenal v Manchester City,Second Half,1908.60,Aleksandar KOLAROV,Manchester City,1.70,32.43
Arsenal v Manchester City,Second Half,1908.70,Aleksandar KOLAROV,Manchester City,1.73,32.22
Arsenal v Manchester City,Second Half,1908.80,Aleksandar KOLAROV,Manchester City,1.71,32.01
Arsenal v Manchester City,Second Half,1908.90,Aleksandar KOLAROV,Manchester City,1.70,31.80
Arsenal v Manchester City,Second Half,1909.00,Aleksandar KOLAROV,Manchester City,1.69,31.58
Arsenal v Manchester City,Second Half,1909.10,Aleksandar KOLAROV,Manchester City,1.68,31.35
Arsenal v Manchester City,Second Half,1909.20,Aleksandar KOLAROV,Manchester City,1.67,31.15
Arsenal v Manchester City,Second Half,1909.30,Aleksandar KOLAROV,Manchester City,1.67,30.99
Arsenal v Manchester City,Second Half,1909.40,Aleksandar KOLAROV,Manchester City,1.69,30.87
Arsenal v Manchester City,Second Half,1909.50,Aleksandar KOLAROV,Manchester City,1.72,30.72
Arsenal v Manchester City,Second Half,1909.60,Aleksandar KOLAROV,Manchester City,1.78,30.54
Arsenal v Manchester City,Second Half,1909.70,Aleksandar KOLAROV,Manchester City,1.85,30.33
Arsenal v Manchester City,Second Half,1909.80,Aleksandar KOLAROV,Manchester City,1.93,30.13
Arsenal v Manchester City,Second Half,1909.90,Aleksandar KOLAROV,Manchester City,2.01,29.93
Arsenal v Manchester City,Second Half,1910.00,Aleksandar KOLAROV,Manchester City,2.09,29.72
Arsenal v Manchester City,Second Half,1910.10,Aleksandar KOLAROV,Manchester City,2.17,29.54
