Matchname,Half,Time,Player1Name,Player1ClubName,XPos,Ypos
Arsenal v Manchester City,Second Half,2523.30,Alex OXLADE-CHAMBERLAIN,Arsenal,-1.07,32.94
Arsenal v Manchester City,Second Half,2523.40,Alex OXLADE-CHAMBERLAIN,Arsenal,-1.16,32.79
Arsenal v Manchester City,Second Half,2523.50,Alex OXLADE-CHAMBERLAIN,Arsenal,-1.24,32.66
Arsenal v Manchester City,Second Half,2523.60,Alex OXLADE-CHAMBERLAIN,Arsenal,-1.26,32.44
Arsenal v Manchester City,Second Half,2523.70,Alex OXLADE-CHAMBERLAIN,Arsenal,-1.21,32.12
Arsenal v Manchester City,Second Half,2523.80,Alex OXLADE-CHAMBERLAIN,Arsenal,-1.13,31.75
Arsenal v Manchester City,Second Half,2523.90,Alex OXLADE-CHAMBERLAIN,Arsenal,-1.04,31.26
Arsenal v Manchester City,Second Half,2524.00,Alex OXLADE-CHAMBERLAIN,Arsenal,-0.93,30.71
Arsenal v Manchester City,Second Half,2524.10,Alex OXLADE-CHAMBERLAIN,Arsenal,-0.79,30.07
Arsenal v Manchester City,Second Half,2524.20,Alex OXLADE-CHAMBERLAIN,Arsenal,-0.70,29.47
Arsenal v Manchester City,Second Half,2524.30,Alex OXLADE-CHAMBERLAIN,Arsenal,-0.68,28.93
Arsenal v Manchester City,Second Half,2524.40,Alex OXLADE-CHAMBERLAIN,Arsenal,-0.70,28.38
Arsenal v Manchester City,Second Half,2524.50,Alex OXLADE-CHAMBERLAIN,Arsenal,-0.75,27.83
Arsenal v Manchester City,Second Half,2524.60,Alex OXLADE-CHAMBERLAIN,Arsenal,-0.85,27.31
Arsenal v Manchester City,Second Half,2524.70,Alex OXLADE-CHAMBERLAIN,Arsenal,-1.00,26.80
Arsenal v Manchester City,Second Half,2524.80,Alex OXLADE-CHAMBERLAIN,Arsenal,-1.17,26.31
Arsenal v Manchester City,Second Half,2524.90,Alex OXLADE-CHAMBERLAIN,Arsenal,-1.35,25.82
Arsenal v Manchester City,Second Half,2525.00,Alex OXLADE-CHAMBERLAIN,Arsenal,-1.56,25.33
Arsenal v Manchester City,Second Half,2525.10,Alex OXLADE-CHAMBERLAIN,Arsenal,-1.77,24.86
Arsenal v Manchester City,Second Half,2525.20,Alex OXLADE-CHAMBERLAIN,Arsenal,-1.98,24.37
Arsenal v Manchester City,Second Half,2525.30,Alex OXLADE-CHAMBERLAIN,Arsenal,-2.17,23.88
Arsenal v Manchester City,Second Half,2525.40,Alex OXLADE-CHAMBERLAIN,Arsenal,-2.35,23.37
Arsenal v Manchester City,Second Half,2525.50,Alex OXLADE-CHAMBERLAIN,Arsenal,-2.51,22.86
Arsenal v Manchester City,Second Half,2525.60,Alex OXLADE-CHAMBERLAIN,Arsenal,-2.65,22.33
Arsenal v Manchester City,Second Half,2525.70,Alex OXLADE-CHAMBERLAIN,Arsenal,-2.76,21.79
Arsenal v Manchester City,Second Half,2525.80,Alex OXLADE-CHAMBERLAIN,Arsenal,-2.85,21.24
Arsenal v Manchester City,Second Half,2525.90,Alex OXLADE-CHAMBERLAIN,Arsenal,-2.92,20.69
Arsenal v Manchester City,Second Half,2526.00,Alex OXLADE-CHAMBERLAIN,Arsenal,-2.97,20.14
Arsenal v Manchester City,Second Half,2526.10,Alex OXLADE-CHAMBERLAIN,Arsenal,-3.00,19.60
Arsenal v Manchester City,Second Half,2526.20,Alex OXLADE-CHAMBERLAIN,Arsenal,-3.01,19.05
Arsenal v Manchester City,Second Half,2526.30,Alex OXLADE-CHAMBERLAIN,Arsenal,-2.99,18.51
Arsenal v Manchester City,Second Half,2526.40,Alex OXLADE-CHAMBERLAIN,Arsenal,-2.99,17.94
Arsenal v Manchester City,Second Half,2526.50,Alex OXLADE-CHAMBERLAIN,Arsenal,-2.99,17.34
Arsenal v Manchester City,Second Half,2526.60,Alex OXLADE-CHAMBERLAIN,Arsenal,-3.00,16.75
Arsenal v Manchester City,Second Half,2526.70,Alex OXLADE-CHAMBERLAIN,Arsenal,-3.02,16.17
Arsenal v Manchester City,Second Half,2526.80,Alex OXLADE-CHAMBERLAIN,Arsenal,-3.05,15.60
Arsenal v Manchester City,Second Half,2526.90,Alex OXLADE-CHAMBERLAIN,Arsenal,-3.10,15.05
Arsenal v Manchester City,Second Half,2527.00,Alex OXLADE-CHAMBERLAIN,Arsenal,-3.16,14.53
Arsenal v Manchester City,Second Half,2527.10,Alex OXLADE-CHAMBERLAIN,Arsenal,-3.22,14.07
Arsenal v Manchester City,Second Half,2527.20,Alex OXLADE-CHAMBERLAIN,Arsenal,-3.34,13.56
Arsenal v Manchester City,Second Half,2527.30,Alex OXLADE-CHAMBERLAIN,Arsenal,-3.52,13.02
Arsenal v Manchester City,Second Half,2527.40,Alex OXLADE-CHAMBERLAIN,Arsenal,-3.72,12.49
Arsenal v Manchester City,Second Half,2527.50,Alex OXLADE-CHAMBERLAIN,Arsenal,-3.94,11.97
Arsenal v Manchester City,Second Half,2527.60,Alex OXLADE-CHAMBERLAIN,Arsenal,-4.19,11.46
Arsenal v Manchester City,Second Half,2527.70,Alex OXLADE-CHAMBERLAIN,Arsenal,-4.46,10.95
Arsenal v Manchester City,Second Half,2527.80,Alex OXLADE-CHAMBERLAIN,Arsenal,-4.67,10.48
Arsenal v Manchester City,Second Half,2527.90,Alex OXLADE-CHAMBERLAIN,Arsenal,-4.81,10.03
Arsenal v Manchester City,Second Half,2528.00,Alex OXLADE-CHAMBERLAIN,Arsenal,-4.96,9.59
Arsenal v Manchester City,Second Half,2528.10,Alex OXLADE-CHAMBERLAIN,Arsenal,-5.11,9.15
Arsenal v Manchester City,Second Half,2528.20,Alex OXLADE-CHAMBERLAIN,Arsenal,-5.27,8.71
Arsenal v Manchester City,Second Half,2528.30,Alex OXLADE-CHAMBERLAIN,Arsenal,-5.42,8.27
Arsenal v Manchester City,Second Half,2528.40,Alex OXLADE-CHAMBERLAIN,Arsenal,-5.61,7.86
Arsenal v Manchester City,Second Half,2528.50,Alex OXLADE-CHAMBERLAIN,Arsenal,-5.83,7.47
Arsenal v Manchester City,Second Half,2528.60,Alex OXLADE-CHAMBERLAIN,Arsenal,-6.06,7.09
Arsenal v Manchester City,Second Half,2528.70,Alex OXLADE-CHAMBERLAIN,Arsenal,-6.24,6.69
Arsenal v Manchester City,Second Half,2528.80,Alex OXLADE-CHAMBERLAIN,Arsenal,-6.36,6.28
Arsenal v Manchester City,Second Half,2528.90,Alex OXLADE-CHAMBERLAIN,Arsenal,-6.40,5.87
Arsenal v Manchester City,Second Half,2529.00,Alex OXLADE-CHAMBERLAIN,Arsenal,-6.36,5.45
Arsenal v Manchester City,Second Half,2529.10,Alex OXLADE-CHAMBERLAIN,Arsenal,-6.31,4.98
Arsenal v Manchester City,Second Half,2529.20,Alex OXLADE-CHAMBERLAIN,Arsenal,-6.24,4.47
Arsenal v Manchester City,Second Half,2529.30,Alex OXLADE-CHAMBERLAIN,Arsenal,-6.14,3.97
Arsenal v Manchester City,Second Half,2529.40,Alex OXLADE-CHAMBERLAIN,Arsenal,-6.04,3.47
Arsenal v Manchester City,Second Half,2529.50,Alex OXLADE-CHAMBERLAIN,Arsenal,-5.97,2.98
Arsenal v Manchester City,Second Half,2529.60,Alex OXLADE-CHAMBERLAIN,Arsenal,-5.94,2.52
Arsenal v Manchester City,Second Half,2529.70,Alex OXLADE-CHAMBERLAIN,Arsenal,-5.87,2.11
Arsenal v Manchester City,Second Half,2529.80,Alex OXLADE-CHAMBERLAIN,Arsenal,-5.77,1.76
Arsenal v Manchester City,Second Half,2529.90,Alex OXLADE-CHAMBERLAIN,Arsenal,-5.62,1.36
Arsenal v Manchester City,Second Half,2530.00,Alex OXLADE-CHAMBERLAIN,Arsenal,-5.47,0.96
Arsenal v Manchester City,Second Half,2530.10,Alex OXLADE-CHAMBERLAIN,Arsenal,-5.31,0.53
Arsenal v Manchester City,Second Half,2530.20,Alex OXLADE-CHAMBERLAIN,Arsenal,-5.14,0.07
Arsenal v Manchester City,Second Half,2530.30,Alex OXLADE-CHAMBERLAIN,Arsenal,-4.96,-0.42
Arsenal v Manchester City,Second Half,2530.40,Alex OXLADE-CHAMBERLAIN,Arsenal,-4.79,-0.99
