Matchname,Half,Time,Player1Name,Player1ClubName,XPos,Ypos
Arsenal v Manchester City,Second Half,2139.00,Calum CHAMBERS,Arsenal,-2.87,33.30
Arsenal v Manchester City,Second Half,2139.10,Calum CHAMBERS,Arsenal,-3.17,33.21
Arsenal v Manchester City,Second Half,2139.20,Calum CHAMBERS,Arsenal,-3.45,33.12
Arsenal v Manchester City,Second Half,2139.30,Calum CHAMBERS,Arsenal,-3.71,33.05
Arsenal v Manchester City,Second Half,2139.40,Calum CHAMBERS,Arsenal,-3.94,32.99
Arsenal v Manchester City,Second Half,2139.50,Calum CHAMBERS,Arsenal,-4.14,32.95
Arsenal v Manchester City,Second Half,2139.60,Calum CHAMBERS,Arsenal,-4.44,32.89
Arsenal v Manchester City,Second Half,2139.70,Calum CHAMBERS,Arsenal,-4.74,32.84
Arsenal v Manchester City,Second Half,2139.80,Calum CHAMBERS,Arsenal,-5.05,32.79
Arsenal v Manchester City,Second Half,2139.90,Calum CHAMBERS,Arsenal,-5.37,32.75
Arsenal v Manchester City,Second Half,2140.00,Calum CHAMBERS,Arsenal,-5.69,32.71
Arsenal v Manchester City,Second Half,2140.10,Calum CHAMBERS,Arsenal,-6.03,32.66
Arsenal v Manchester City,Second Half,2140.20,Calum CHAMBERS,Arsenal,-6.37,32.61
Arsenal v Manchester City,Second Half,2140.30,Calum CHAMBERS,Arsenal,-6.71,32.55
Arsenal v Manchester City,Second Half,2140.40,Calum CHAMBERS,Arsenal,-7.06,32.49
Arsenal v Manchester City,Second Half,2140.50,Calum CHAMBERS,Arsenal,-7.40,32.42
Arsenal v Manchester City,Second Half,2140.60,Calum CHAMBERS,Arsenal,-7.76,32.35
Arsenal v Manchester City,Second Half,2140.70,Calum CHAMBERS,Arsenal,-8.11,32.28
Arsenal v Manchester City,Second Half,2140.80,Calum CHAMBERS,Arsenal,-8.47,32.22
Arsenal v Manchester City,Second Half,2140.90,Calum CHAMBERS,Arsenal,-8.83,32.17
Arsenal v Manchester City,Second Half,2141.00,Calum CHAMBERS,Arsenal,-9.19,32.12
Arsenal v Manchester City,Second Half,2141.10,Calum CHAMBERS,Arsenal,-9.55,32.09
Arsenal v Manchester City,Second Half,2141.20,Calum CHAMBERS,Arsenal,-9.92,32.06
Arsenal v Manchester City,Second Half,2141.30,Calum CHAMBERS,Arsenal,-10.29,32.04
Arsenal v Manchester City,Second Half,2141.40,Calum CHAMBERS,Arsenal,-10.65,32.02
