Matchname,Half,Time,Player1Name,Player1ClubName,XPos,Ypos
Arsenal v Manchester City,Second Half,1305.30,Edin DZEKO,Manchester City,1.53,33.90
Arsenal v Manchester City,Second Half,1305.40,Edin DZEKO,Manchester City,1.54,33.89
Arsenal v Manchester City,Second Half,1305.50,Edin DZEKO,Manchester City,1.56,33.88
Arsenal v Manchester City,Second Half,1305.60,Edin DZEKO,Manchester City,1.57,33.86
Arsenal v Manchester City,Second Half,1305.70,Edin DZEKO,Manchester City,1.59,33.84
Arsenal v Manchester City,Second Half,1305.80,Edin DZEKO,Manchester City,1.60,33.81
Arsenal v Manchester City,Second Half,1305.90,Edin DZEKO,Manchester City,1.62,33.79
Arsenal v Manchester City,Second Half,1306.00,Edin DZEKO,Manchester City,1.64,33.75
Arsenal v Manchester City,Second Half,1306.10,Edin DZEKO,Manchester City,1.65,33.72
Arsenal v Manchester City,Second Half,1306.20,Edin DZEKO,Manchester City,1.69,33.67
Arsenal v Manchester City,Second Half,1306.30,Edin DZEKO,Manchester City,1.74,33.61
Arsenal v Manchester City,Second Half,1306.40,Edin DZEKO,Manchester City,1.63,33.53
Arsenal v Manchester City,Second Half,1306.50,Edin DZEKO,Manchester City,1.50,33.42
Arsenal v Manchester City,Second Half,1306.60,Edin DZEKO,Manchester City,1.36,33.27
Arsenal v Manchester City,Second Half,1306.70,Edin DZEKO,Manchester City,1.22,33.08
Arsenal v Manchester City,Second Half,1306.80,Edin DZEKO,Manchester City,1.05,32.85
Arsenal v Manchester City,Second Half,1306.90,Edin DZEKO,Manchester City,0.86,32.58
Arsenal v Manchester City,Second Half,1307.00,Edin DZEKO,Manchester City,0.85,32.26
Arsenal v Manchester City,Second Half,1307.10,Edin DZEKO,Manchester City,0.84,31.90
Arsenal v Manchester City,Second Half,1307.20,Edin DZEKO,Manchester City,0.81,31.51
Arsenal v Manchester City,Second Half,1307.30,Edin DZEKO,Manchester City,0.78,31.08
Arsenal v Manchester City,Second Half,1307.40,Edin DZEKO,Manchester City,0.72,30.65
Arsenal v Manchester City,Second Half,1307.50,Edin DZEKO,Manchester City,0.62,30.22
Arsenal v Manchester City,Second Half,1307.60,Edin DZEKO,Manchester City,0.48,29.78
