Matchname,Half,Time,EventName,Player1Name,Player1ClubName,Player2Name,Player2Clubname,XPosOrigin,YPosOrigin,XPosDest,YPosDest,Rotation
Arsenal v Manchester City,First Half,0.000,Start Of Half,Danny WELBECK,Arsenal,,,0.35,0.27,-0.49,-1.81,180
Arsenal v Manchester City,First Half,0.400,Pass,Aaron RAMSEY,Arsenal,,,-0.49,-1.81,10.61,0.95,180
Arsenal v Manchester City,First Half,1.500,Touch,Jack WILSHERE,Arsenal,,,10.61,0.95,9.67,1.36,180
Arsenal v Manchester City,First Half,2.300,Pass,Jack WILSHERE,Arsenal,,,9.67,1.36,-10.54,-20.19,180
Arsenal v Manchester City,First Half,3.600,Touch,Alexis SANCHEZ,Arsenal,,,-10.54,-20.19,-21.47,-19.79,180
Arsenal v Manchester City,First Half,4.600,Clearance,Gael CLICHY,Manchester City,,,-21.47,-19.79,4.91,-1.18,0
Arsenal v Manchester City,First Half,7.500,Touch,Jack WILSHERE,Arsenal,,,4.91,-1.18,4.07,-4.38,180
Arsenal v Manchester City,First Half,8.800,Touch,Jack WILSHERE,Arsenal,,,4.07,-4.38,2.91,-10.61,180
Arsenal v Manchester City,First Half,9.900,Touch,Jack WILSHERE,Arsenal,,,2.91,-10.61,2.88,-16.14,180
Arsenal v Manchester City,First Half,10.800,Pass,Jack WILSHERE,Arsenal,,,2.88,-16.14,9.25,-20.40,180
Arsenal v Manchester City,First Half,12.100,Touch,Mathieu DEBUCHY,Arsenal,,,9.25,-20.40,6.68,-16.27,180
Arsenal v Manchester City,First Half,13.300,Pass,Mathieu DEBUCHY,Arsenal,,,6.68,-16.27,10.71,-6.73,180
Arsenal v Manchester City,First Half,14.300,Touch,Mathieu FLAMINI,Arsenal,,,10.71,-6.73,11.22,-2.24,180
Arsenal v Manchester City,First Half,15.400,Pass,Mathieu FLAMINI,Arsenal,,,11.22,-2.24,17.36,13.60,180
Arsenal v Manchester City,First Half,17.100,Pass,Laurent KOSCIELNY,Arsenal,,,17.36,13.60,1.83,32.40,180
Arsenal v Manchester City,First Half,18.600,Pass,Nacho MONREAL,Arsenal,,,1.83,32.40,-15.96,7.00,180
Arsenal v Manchester City,First Half,21.000,Header,Danny WELBECK,Arsenal,,,-15.96,7.00,-23.31,-6.54,180
Arsenal v Manchester City,First Half,22.500,Header,Gael CLICHY,Manchester City,,,-23.31,-6.54,-43.39,6.93,0
Arsenal v Manchester City,First Half,25.000,Goalkeeper Pick Up,Joe HART,Manchester City,,,-43.39,6.93,-40.17,-1.29,0
Arsenal v Manchester City,First Half,28.400,Goalkeeper Throw,Joe HART,Manchester City,,,-40.17,-1.29,-18.62,-33.20,0
Arsenal v Manchester City,First Half,30.700,Touch,Gael CLICHY,Manchester City,,,-18.62,-33.20,-17.12,-33.01,0
Arsenal v Manchester City,First Half,32.000,Pass,Gael CLICHY,Manchester City,,,-17.12,-33.01,-10.98,-24.04,0
Arsenal v Manchester City,First Half,32.900,Pass,Frank LAMPARD,Manchester City,,,-10.98,-24.04,-18.75,-28.24,0
Arsenal v Manchester City,First Half,34.200,Tackle,Gael CLICHY,Manchester City,Aaron RAMSEY,Arsenal,-18.75,-28.24,-19.86,-27.08,0
Arsenal v Manchester City,First Half,34.600,Touch,Aaron RAMSEY,Arsenal,,,-19.86,-27.08,-21.00,-35.00,180
