Matchname,Half,Time,Player1Name,Player1ClubName,XPos,Ypos
Arsenal v Manchester City,First Half,0.00,FERNANDINHO,Manchester City,-11.60,1.02
Arsenal v Manchester City,First Half,0.10,FERNANDINHO,Manchester City,-11.75,1.28
Arsenal v Manchester City,First Half,0.20,FERNANDINHO,Manchester City,-11.90,1.54
Arsenal v Manchester City,First Half,0.30,FERNANDINHO,Manchester City,-11.87,1.48
Arsenal v Manchester City,First Half,0.40,FERNANDINHO,Manchester City,-11.83,1.43
Arsenal v Manchester City,First Half,0.50,FERNANDINHO,Manchester City,-11.58,1.28
Arsenal v Manchester City,First Half,0.60,FERNANDINHO,Manchester City,-11.49,1.28
Arsenal v Manchester City,First Half,0.70,FERNANDINHO,Manchester City,-11.38,1.27
Arsenal v Manchester City,First Half,0.80,FERNANDINHO,Manchester City,-11.26,1.23
Arsenal v Manchester City,First Half,0.90,FERNANDINHO,Manchester City,-11.15,1.21
Arsenal v Manchester City,First Half,1.00,FERNANDINHO,Manchester City,-11.06,1.19
Arsenal v Manchester City,First Half,1.10,FERNANDINHO,Manchester City,-11.00,1.19
Arsenal v Manchester City,First Half,1.20,FERNANDINHO,Manchester City,-10.94,1.20
Arsenal v Manchester City,First Half,1.30,FERNANDINHO,Manchester City,-10.88,1.20
Arsenal v Manchester City,First Half,1.40,FERNANDINHO,Manchester City,-10.82,1.22
Arsenal v Manchester City,First Half,1.50,FERNANDINHO,Manchester City,-10.75,1.24
Arsenal v Manchester City,First Half,1.60,FERNANDINHO,Manchester City,-10.67,1.27
Arsenal v Manchester City,First Half,1.70,FERNANDINHO,Manchester City,-10.57,1.31
Arsenal v Manchester City,First Half,1.80,FERNANDINHO,Manchester City,-10.46,1.35
Arsenal v Manchester City,First Half,1.90,FERNANDINHO,Manchester City,-10.33,1.40
Arsenal v Manchester City,First Half,2.00,FERNANDINHO,Manchester City,-10.21,1.44
Arsenal v Manchester City,First Half,2.10,FERNANDINHO,Manchester City,-10.10,1.47
Arsenal v Manchester City,First Half,2.20,FERNANDINHO,Manchester City,-10.00,1.48
Arsenal v Manchester City,First Half,2.30,FERNANDINHO,Manchester City,-9.91,1.48
Arsenal v Manchester City,First Half,2.40,FERNANDINHO,Manchester City,-9.83,1.45
Arsenal v Manchester City,First Half,2.50,FERNANDINHO,Manchester City,-9.77,1.41
Arsenal v Manchester City,First Half,2.60,FERNANDINHO,Manchester City,-9.72,1.35
Arsenal v Manchester City,First Half,2.70,FERNANDINHO,Manchester City,-9.67,1.29
Arsenal v Manchester City,First Half,2.80,FERNANDINHO,Manchester City,-9.62,1.23
Arsenal v Manchester City,First Half,2.90,FERNANDINHO,Manchester City,-9.58,1.15
Arsenal v Manchester City,First Half,3.00,FERNANDINHO,Manchester City,-9.55,1.08
Arsenal v Manchester City,First Half,3.10,FERNANDINHO,Manchester City,-9.51,1.00
Arsenal v Manchester City,First Half,3.20,FERNANDINHO,Manchester City,-9.50,0.90
Arsenal v Manchester City,First Half,3.30,FERNANDINHO,Manchester City,-9.52,0.78
Arsenal v Manchester City,First Half,3.40,FERNANDINHO,Manchester City,-9.57,0.65
Arsenal v Manchester City,First Half,3.50,FERNANDINHO,Manchester City,-9.65,0.50
Arsenal v Manchester City,First Half,3.60,FERNANDINHO,Manchester City,-9.77,0.33
Arsenal v Manchester City,First Half,3.70,FERNANDINHO,Manchester City,-9.94,0.15
Arsenal v Manchester City,First Half,3.80,FERNANDINHO,Manchester City,-10.13,-0.04
Arsenal v Manchester City,First Half,3.90,FERNANDINHO,Manchester City,-10.34,-0.22
Arsenal v Manchester City,First Half,4.00,FERNANDINHO,Manchester City,-10.58,-0.40
Arsenal v Manchester City,First Half,4.10,FERNANDINHO,Manchester City,-10.83,-0.58
Arsenal v Manchester City,First Half,4.20,FERNANDINHO,Manchester City,-11.10,-0.76
Arsenal v Manchester City,First Half,4.30,FERNANDINHO,Manchester City,-11.37,-0.95
Arsenal v Manchester City,First Half,4.40,FERNANDINHO,Manchester City,-11.65,-1.12
Arsenal v Manchester City,First Half,4.50,FERNANDINHO,Manchester City,-11.92,-1.28
Arsenal v Manchester City,First Half,4.60,FERNANDINHO,Manchester City,-12.18,-1.43
Arsenal v Manchester City,First Half,4.70,FERNANDINHO,Manchester City,-12.44,-1.56
Arsenal v Manchester City,First Half,4.80,FERNANDINHO,Manchester City,-12.69,-1.69
Arsenal v Manchester City,First Half,4.90,FERNANDINHO,Manchester City,-12.93,-1.79
