Matchname,Half,Time,Player1Name,Player1ClubName,XPos,Ypos
Arsenal v Manchester City,First Half,0.00,Mathieu DEBUCHY,Arsenal,12.33,-23.38
Arsenal v Manchester City,First Half,0.10,Mathieu DEBUCHY,Arsenal,12.33,-23.38
Arsenal v Manchester City,First Half,0.20,Mathieu DEBUCHY,Arsenal,12.33,-23.38
Arsenal v Manchester City,First Half,0.30,Mathieu DEBUCHY,Arsenal,12.33,-23.38
Arsenal v Manchester City,First Half,0.40,Mathieu DEBUCHY,Arsenal,12.33,-23.38
Arsenal v Manchester City,First Half,0.50,Mathieu DEBUCHY,Arsenal,12.28,-23.38
Arsenal v Manchester City,First Half,0.60,Mathieu DEBUCHY,Arsenal,12.23,-23.37
Arsenal v Manchester City,First Half,0.70,Mathieu DEBUCHY,Arsenal,12.17,-23.37
Arsenal v Manchester City,First Half,0.80,Mathieu DEBUCHY,Arsenal,12.08,-23.36
Arsenal v Manchester City,First Half,0.90,Mathieu DEBUCHY,Arsenal,11.96,-23.35
Arsenal v Manchester City,First Half,1.00,Mathieu DEBUCHY,Arsenal,11.84,-23.34
Arsenal v Manchester City,First Half,1.10,Mathieu DEBUCHY,Arsenal,11.71,-23.32
Arsenal v Manchester City,First Half,1.20,Mathieu DEBUCHY,Arsenal,11.56,-23.30
Arsenal v Manchester City,First Half,1.30,Mathieu DEBUCHY,Arsenal,11.41,-23.27
Arsenal v Manchester City,First Half,1.40,Mathieu DEBUCHY,Arsenal,11.25,-23.23
Arsenal v Manchester City,First Half,1.50,Mathieu DEBUCHY,Arsenal,11.09,-23.18
Arsenal v Manchester City,First Half,1.60,Mathieu DEBUCHY,Arsenal,10.90,-23.15
Arsenal v Manchester City,First Half,1.70,Mathieu DEBUCHY,Arsenal,10.69,-23.12
Arsenal v Manchester City,First Half,1.80,Mathieu DEBUCHY,Arsenal,10.46,-23.11
Arsenal v Manchester City,First Half,1.90,Mathieu DEBUCHY,Arsenal,10.20,-23.11
Arsenal v Manchester City,First Half,2.00,Mathieu DEBUCHY,Arsenal,9.91,-23.12
Arsenal v Manchester City,First Half,2.10,Mathieu DEBUCHY,Arsenal,9.59,-23.15
Arsenal v Manchester City,First Half,2.20,Mathieu DEBUCHY,Arsenal,9.26,-23.19
Arsenal v Manchester City,First Half,2.30,Mathieu DEBUCHY,Arsenal,8.92,-23.23
Arsenal v Manchester City,First Half,2.40,Mathieu DEBUCHY,Arsenal,8.57,-23.27
Arsenal v Manchester City,First Half,2.50,Mathieu DEBUCHY,Arsenal,8.21,-23.30
Arsenal v Manchester City,First Half,2.60,Mathieu DEBUCHY,Arsenal,7.84,-23.33
Arsenal v Manchester City,First Half,2.70,Mathieu DEBUCHY,Arsenal,7.47,-23.35
Arsenal v Manchester City,First Half,2.80,Mathieu DEBUCHY,Arsenal,7.10,-23.36
Arsenal v Manchester City,First Half,2.90,Mathieu DEBUCHY,Arsenal,6.72,-23.35
Arsenal v Manchester City,First Half,3.00,Mathieu DEBUCHY,Arsenal,6.36,-23.35
Arsenal v Manchester City,First Half,3.10,Mathieu DEBUCHY,Arsenal,6.01,-23.35
Arsenal v Manchester City,First Half,3.20,Mathieu DEBUCHY,Arsenal,5.67,-23.35
Arsenal v Manchester City,First Half,3.30,Mathieu DEBUCHY,Arsenal,5.35,-23.35
Arsenal v Manchester City,First Half,3.40,Mathieu DEBUCHY,Arsenal,5.05,-23.35
Arsenal v Manchester City,First Half,3.50,Mathieu DEBUCHY,Arsenal,4.77,-23.36
Arsenal v Manchester City,First Half,3.60,Mathieu DEBUCHY,Arsenal,4.47,-23.37
Arsenal v Manchester City,First Half,3.70,Mathieu DEBUCHY,Arsenal,4.13,-23.38
Arsenal v Manchester City,First Half,3.80,Mathieu DEBUCHY,Arsenal,3.76,-23.38
Arsenal v Manchester City,First Half,3.90,Mathieu DEBUCHY,Arsenal,3.34,-23.39
Arsenal v Manchester City,First Half,4.00,Mathieu DEBUCHY,Arsenal,2.91,-23.38
Arsenal v Manchester City,First Half,4.10,Mathieu DEBUCHY,Arsenal,2.46,-23.37
Arsenal v Manchester City,First Half,4.20,Mathieu DEBUCHY,Arsenal,2.03,-23.34
Arsenal v Manchester City,First Half,4.30,Mathieu DEBUCHY,Arsenal,1.62,-23.30
Arsenal v Manchester City,First Half,4.40,Mathieu DEBUCHY,Arsenal,1.23,-23.25
Arsenal v Manchester City,First Half,4.50,Mathieu DEBUCHY,Arsenal,0.88,-23.18
Arsenal v Manchester City,First Half,4.60,Mathieu DEBUCHY,Arsenal,0.53,-23.11
Arsenal v Manchester City,First Half,4.70,Mathieu DEBUCHY,Arsenal,0.19,-23.04
Arsenal v Manchester City,First Half,4.80,Mathieu DEBUCHY,Arsenal,-0.16,-22.97
Arsenal v Manchester City,First Half,4.90,Mathieu DEBUCHY,Arsenal,-0.52,-22.91
Arsenal v Manchester City,First Half,5.00,Mathieu DEBUCHY,Arsenal,-0.90,-22.87
Arsenal v Manchester City,First Half,5.10,Mathieu DEBUCHY,Arsenal,-1.31,-22.83
Arsenal v Manchester City,First Half,5.20,Mathieu DEBUCHY,Arsenal,-1.74,-22.81
Arsenal v Manchester City,First Half,5.30,Mathieu DEBUCHY,Arsenal,-2.19,-22.81
Arsenal v Manchester City,First Half,5.40,Mathieu DEBUCHY,Arsenal,-2.57,-22.78
Arsenal v Manchester City,First Half,5.50,Mathieu DEBUCHY,Arsenal,-2.87,-22.71
Arsenal v Manchester City,First Half,5.60,Mathieu DEBUCHY,Arsenal,-3.07,-22.61
Arsenal v Manchester City,First Half,5.70,Mathieu DEBUCHY,Arsenal,-3.17,-22.46
Arsenal v Manchester City,First Half,5.80,Mathieu DEBUCHY,Arsenal,-3.15,-22.27
Arsenal v Manchester City,First Half,5.90,Mathieu DEBUCHY,Arsenal,-3.00,-22.02
Arsenal v Manchester City,First Half,6.00,Mathieu DEBUCHY,Arsenal,-2.80,-21.75
Arsenal v Manchester City,First Half,6.10,Mathieu DEBUCHY,Arsenal,-2.56,-21.47
Arsenal v Manchester City,First Half,6.20,Mathieu DEBUCHY,Arsenal,-2.28,-21.16
Arsenal v Manchester City,First Half,6.30,Mathieu DEBUCHY,Arsenal,-1.96,-20.85
Arsenal v Manchester City,First Half,6.40,Mathieu DEBUCHY,Arsenal,-1.63,-20.54
Arsenal v Manchester City,First Half,6.50,Mathieu DEBUCHY,Arsenal,-1.28,-20.25
Arsenal v Manchester City,First Half,6.60,Mathieu DEBUCHY,Arsenal,-0.94,-19.97
Arsenal v Manchester City,First Half,6.70,Mathieu DEBUCHY,Arsenal,-0.59,-19.71
Arsenal v Manchester City,First Half,6.80,Mathieu DEBUCHY,Arsenal,-0.24,-19.48
Arsenal v Manchester City,First Half,6.90,Mathieu DEBUCHY,Arsenal,0.10,-19.28
Arsenal v Manchester City,First Half,7.00,Mathieu DEBUCHY,Arsenal,0.44,-19.08
Arsenal v Manchester City,First Half,7.10,Mathieu DEBUCHY,Arsenal,0.78,-18.90
Arsenal v Manchester City,First Half,7.20,Mathieu DEBUCHY,Arsenal,1.12,-18.72
Arsenal v Manchester City,First Half,7.30,Mathieu DEBUCHY,Arsenal,1.46,-18.55
Arsenal v Manchester City,First Half,7.40,Mathieu DEBUCHY,Arsenal,1.80,-18.38
Arsenal v Manchester City,First Half,7.50,Mathieu DEBUCHY,Arsenal,2.14,-18.22
Arsenal v Manchester City,First Half,7.60,Mathieu DEBUCHY,Arsenal,2.48,-18.06
Arsenal v Manchester City,First Half,7.70,Mathieu DEBUCHY,Arsenal,2.82,-17.91
Arsenal v Manchester City,First Half,7.80,Mathieu DEBUCHY,Arsenal,3.17,-17.75
Arsenal v Manchester City,First Half,7.90,Mathieu DEBUCHY,Arsenal,3.52,-17.60
Arsenal v Manchester City,First Half,8.00,Mathieu DEBUCHY,Arsenal,3.87,-17.45
Arsenal v Manchester City,First Half,8.10,Mathieu DEBUCHY,Arsenal,4.22,-17.30
Arsenal v Manchester City,First Half,8.20,Mathieu DEBUCHY,Arsenal,4.57,-17.15
Arsenal v Manchester City,First Half,8.30,Mathieu DEBUCHY,Arsenal,4.92,-17.01
Arsenal v Manchester City,First Half,8.40,Mathieu DEBUCHY,Arsenal,5.27,-16.89
Arsenal v Manchester City,First Half,8.50,Mathieu DEBUCHY,Arsenal,5.61,-16.80
Arsenal v Manchester City,First Half,8.60,Mathieu DEBUCHY,Arsenal,5.95,-16.74
Arsenal v Manchester City,First Half,8.70,Mathieu DEBUCHY,Arsenal,6.28,-16.72
Arsenal v Manchester City,First Half,8.80,Mathieu DEBUCHY,Arsenal,6.61,-16.74
Arsenal v Manchester City,First Half,8.90,Mathieu DEBUCHY,Arsenal,6.92,-16.81
Arsenal v Manchester City,First Half,9.00,Mathieu DEBUCHY,Arsenal,7.24,-16.89
Arsenal v Manchester City,First Half,9.10,Mathieu DEBUCHY,Arsenal,7.55,-16.98
Arsenal v Manchester City,First Half,9.20,Mathieu DEBUCHY,Arsenal,7.86,-17.09
Arsenal v Manchester City,First Half,9.30,Mathieu DEBUCHY,Arsenal,8.17,-17.21
Arsenal v Manchester City,First Half,9.40,Mathieu DEBUCHY,Arsenal,8.47,-17.34
Arsenal v Manchester City,First Half,9.50,Mathieu DEBUCHY,Arsenal,8.75,-17.49
Arsenal v Manchester City,First Half,9.60,Mathieu DEBUCHY,Arsenal,8.99,-17.65
Arsenal v Manchester City,First Half,9.70,Mathieu DEBUCHY,Arsenal,9.21,-17.82
Arsenal v Manchester City,First Half,9.80,Mathieu DEBUCHY,Arsenal,9.38,-18.02
Arsenal v Manchester City,First Half,9.90,Mathieu DEBUCHY,Arsenal,9.52,-18.22
Arsenal v Manchester City,First Half,10.00,Mathieu DEBUCHY,Arsenal,9.61,-18.45
Arsenal v Manchester City,First Half,10.10,Mathieu DEBUCHY,Arsenal,9.69,-18.68
Arsenal v Manchester City,First Half,10.20,Mathieu DEBUCHY,Arsenal,9.75,-18.92
Arsenal v Manchester City,First Half,10.30,Mathieu DEBUCHY,Arsenal,9.80,-19.16
Arsenal v Manchester City,First Half,10.40,Mathieu DEBUCHY,Arsenal,9.84,-19.41
Arsenal v Manchester City,First Half,10.50,Mathieu DEBUCHY,Arsenal,9.86,-19.66
Arsenal v Manchester City,First Half,10.60,Mathieu DEBUCHY,Arsenal,9.89,-19.92
Arsenal v Manchester City,First Half,10.70,Mathieu DEBUCHY,Arsenal,9.90,-20.18
Arsenal v Manchester City,First Half,10.80,Mathieu DEBUCHY,Arsenal,9.93,-20.42
Arsenal v Manchester City,First Half,10.90,Mathieu DEBUCHY,Arsenal,9.96,-20.64
Arsenal v Manchester City,First Half,11.00,Mathieu DEBUCHY,Arsenal,10.00,-20.84
Arsenal v Manchester City,First Half,11.10,Mathieu DEBUCHY,Arsenal,10.05,-21.02
Arsenal v Manchester City,First Half,11.20,Mathieu DEBUCHY,Arsenal,10.09,-21.15
Arsenal v Manchester City,First Half,11.30,Mathieu DEBUCHY,Arsenal,10.12,-21.22
