Matchname,Half,Time,Player1Name,Player1ClubName,XPos,Ypos
Arsenal v Manchester City,Second Half,2947.40,Mikel ARTETA,Arsenal,-1.72,32.86
Arsenal v Manchester City,Second Half,2947.50,Mikel ARTETA,Arsenal,-1.78,32.59
Arsenal v Manchester City,Second Half,2947.60,Mikel ARTETA,Arsenal,-1.86,32.34
Arsenal v Manchester City,Second Half,2947.70,Mikel ARTETA,Arsenal,-1.95,32.12
Arsenal v Manchester City,Second Half,2947.80,Mikel ARTETA,Arsenal,-2.06,31.94
Arsenal v Manchester City,Second Half,2947.90,Mikel ARTETA,Arsenal,-2.16,31.79
Arsenal v Manchester City,Second Half,2948.00,Mikel ARTETA,Arsenal,-2.28,31.55
Arsenal v Manchester City,Second Half,2948.10,Mikel ARTETA,Arsenal,-2.40,31.33
Arsenal v Manchester City,Second Half,2948.20,Mikel ARTETA,Arsenal,-2.54,31.07
Arsenal v Manchester City,Second Half,2948.30,Mikel ARTETA,Arsenal,-2.69,30.78
Arsenal v Manchester City,Second Half,2948.40,Mikel ARTETA,Arsenal,-2.85,30.44
Arsenal v Manchester City,Second Half,2948.50,Mikel ARTETA,Arsenal,-3.03,30.06
Arsenal v Manchester City,Second Half,2948.60,Mikel ARTETA,Arsenal,-3.22,29.64
Arsenal v Manchester City,Second Half,2948.70,Mikel ARTETA,Arsenal,-3.42,29.17
Arsenal v Manchester City,Second Half,2948.80,Mikel ARTETA,Arsenal,-3.63,28.67
Arsenal v Manchester City,Second Half,2948.90,Mikel ARTETA,Arsenal,-3.85,28.17
Arsenal v Manchester City,Second Half,2949.00,Mikel ARTETA,Arsenal,-4.06,27.67
Arsenal v Manchester City,Second Half,2949.10,Mikel ARTETA,Arsenal,-4.28,27.16
Arsenal v Manchester City,Second Half,2949.20,Mikel ARTETA,Arsenal,-4.49,26.65
Arsenal v Manchester City,Second Half,2949.30,Mikel ARTETA,Arsenal,-4.70,26.15
Arsenal v Manchester City,Second Half,2949.40,Mikel ARTETA,Arsenal,-4.91,25.66
Arsenal v Manchester City,Second Half,2949.50,Mikel ARTETA,Arsenal,-5.12,25.17
Arsenal v Manchester City,Second Half,2949.60,Mikel ARTETA,Arsenal,-5.33,24.68
Arsenal v Manchester City,Second Half,2949.70,Mikel ARTETA,Arsenal,-5.53,24.19
Arsenal v Manchester City,Second Half,2949.80,Mikel ARTETA,Arsenal,-5.73,23.71
Arsenal v Manchester City,Second Half,2949.90,Mikel ARTETA,Arsenal,-5.92,23.23
Arsenal v Manchester City,Second Half,2950.00,Mikel ARTETA,Arsenal,-6.10,22.77
Arsenal v Manchester City,Second Half,2950.10,Mikel ARTETA,Arsenal,-6.27,22.31
Arsenal v Manchester City,Second Half,2950.20,Mikel ARTETA,Arsenal,-6.43,21.85
Arsenal v Manchester City,Second Half,2950.30,Mikel ARTETA,Arsenal,-6.57,21.41
Arsenal v Manchester City,Second Half,2950.40,Mikel ARTETA,Arsenal,-6.71,20.97
Arsenal v Manchester City,Second Half,2950.50,Mikel ARTETA,Arsenal,-6.84,20.53
Arsenal v Manchester City,Second Half,2950.60,Mikel ARTETA,Arsenal,-6.97,20.09
Arsenal v Manchester City,Second Half,2950.70,Mikel ARTETA,Arsenal,-7.09,19.66
Arsenal v Manchester City,Second Half,2950.80,Mikel ARTETA,Arsenal,-7.19,19.23
Arsenal v Manchester City,Second Half,2950.90,Mikel ARTETA,Arsenal,-7.27,18.81
Arsenal v Manchester City,Second Half,2951.00,Mikel ARTETA,Arsenal,-7.33,18.38
Arsenal v Manchester City,Second Half,2951.10,Mikel ARTETA,Arsenal,-7.38,17.96
Arsenal v Manchester City,Second Half,2951.20,Mikel ARTETA,Arsenal,-7.41,17.54
Arsenal v Manchester City,Second Half,2951.30,Mikel ARTETA,Arsenal,-7.43,17.12
Arsenal v Manchester City,Second Half,2951.40,Mikel ARTETA,Arsenal,-7.44,16.70
Arsenal v Manchester City,Second Half,2951.50,Mikel ARTETA,Arsenal,-7.45,16.28
Arsenal v Manchester City,Second Half,2951.60,Mikel ARTETA,Arsenal,-7.46,15.86
Arsenal v Manchester City,Second Half,2951.70,Mikel ARTETA,Arsenal,-7.48,15.44
Arsenal v Manchester City,Second Half,2951.80,Mikel ARTETA,Arsenal,-7.50,15.02
Arsenal v Manchester City,Second Half,2951.90,Mikel ARTETA,Arsenal,-7.54,14.60
Arsenal v Manchester City,Second Half,2952.00,Mikel ARTETA,Arsenal,-7.59,14.17
Arsenal v Manchester City,Second Half,2952.10,Mikel ARTETA,Arsenal,-7.66,13.74
Arsenal v Manchester City,Second Half,2952.20,Mikel ARTETA,Arsenal,-7.73,13.31
Arsenal v Manchester City,Second Half,2952.30,Mikel ARTETA,Arsenal,-7.80,12.88
Arsenal v Manchester City,Second Half,2952.40,Mikel ARTETA,Arsenal,-7.88,12.45
Arsenal v Manchester City,Second Half,2952.50,Mikel ARTETA,Arsenal,-7.96,12.03
Arsenal v Manchester City,Second Half,2952.60,Mikel ARTETA,Arsenal,-8.04,11.63
Arsenal v Manchester City,Second Half,2952.70,Mikel ARTETA,Arsenal,-8.11,11.25
Arsenal v Manchester City,Second Half,2952.80,Mikel ARTETA,Arsenal,-8.17,10.89
Arsenal v Manchester City,Second Half,2952.90,Mikel ARTETA,Arsenal,-8.22,10.55
Arsenal v Manchester City,Second Half,2953.00,Mikel ARTETA,Arsenal,-8.27,10.24
Arsenal v Manchester City,Second Half,2953.10,Mikel ARTETA,Arsenal,-8.32,9.93
Arsenal v Manchester City,Second Half,2953.20,Mikel ARTETA,Arsenal,-8.36,9.64
Arsenal v Manchester City,Second Half,2953.30,Mikel ARTETA,Arsenal,-8.40,9.35
Arsenal v Manchester City,Second Half,2953.40,Mikel ARTETA,Arsenal,-8.49,9.03
Arsenal v Manchester City,Second Half,2953.50,Mikel ARTETA,Arsenal,-8.58,8.73
Arsenal v Manchester City,Second Half,2953.60,Mikel ARTETA,Arsenal,-8.67,8.44
Arsenal v Manchester City,Second Half,2953.70,Mikel ARTETA,Arsenal,-8.76,8.16
Arsenal v Manchester City,Second Half,2953.80,Mikel ARTETA,Arsenal,-8.86,7.89
Arsenal v Manchester City,Second Half,2953.90,Mikel ARTETA,Arsenal,-8.96,7.64
Arsenal v Manchester City,Second Half,2954.00,Mikel ARTETA,Arsenal,-9.01,7.45
Arsenal v Manchester City,Second Half,2954.10,Mikel ARTETA,Arsenal,-9.05,7.27
Arsenal v Manchester City,Second Half,2954.20,Mikel ARTETA,Arsenal,-9.09,7.09
Arsenal v Manchester City,Second Half,2954.30,Mikel ARTETA,Arsenal,-9.13,6.93
Arsenal v Manchester City,Second Half,2954.40,Mikel ARTETA,Arsenal,-9.14,6.78
Arsenal v Manchester City,Second Half,2954.50,Mikel ARTETA,Arsenal,-9.14,6.66
Arsenal v Manchester City,Second Half,2954.60,Mikel ARTETA,Arsenal,-9.12,6.55
Arsenal v Manchester City,Second Half,2954.70,Mikel ARTETA,Arsenal,-9.08,6.46
Arsenal v Manchester City,Second Half,2954.80,Mikel ARTETA,Arsenal,-9.02,6.39
Arsenal v Manchester City,Second Half,2954.90,Mikel ARTETA,Arsenal,-8.94,6.34
Arsenal v Manchester City,Second Half,2955.00,Mikel ARTETA,Arsenal,-8.85,6.29
Arsenal v Manchester City,Second Half,2955.10,Mikel ARTETA,Arsenal,-8.76,6.25
Arsenal v Manchester City,Second Half,2955.20,Mikel ARTETA,Arsenal,-8.65,6.22
Arsenal v Manchester City,Second Half,2955.30,Mikel ARTETA,Arsenal,-8.55,6.20
Arsenal v Manchester City,Second Half,2955.40,Mikel ARTETA,Arsenal,-8.44,6.18
Arsenal v Manchester City,Second Half,2955.50,Mikel ARTETA,Arsenal,-8.34,6.18
Arsenal v Manchester City,Second Half,2955.60,Mikel ARTETA,Arsenal,-8.24,6.17
Arsenal v Manchester City,Second Half,2955.70,Mikel ARTETA,Arsenal,-8.14,6.18
Arsenal v Manchester City,Second Half,2955.80,Mikel ARTETA,Arsenal,-8.04,6.19
Arsenal v Manchester City,Second Half,2955.90,Mikel ARTETA,Arsenal,-7.95,6.20
Arsenal v Manchester City,Second Half,2956.00,Mikel ARTETA,Arsenal,-7.86,6.22
Arsenal v Manchester City,Second Half,2956.10,Mikel ARTETA,Arsenal,-7.77,6.24
Arsenal v Manchester City,Second Half,2956.20,Mikel ARTETA,Arsenal,-7.68,6.26
Arsenal v Manchester City,Second Half,2956.30,Mikel ARTETA,Arsenal,-7.59,6.28
Arsenal v Manchester City,Second Half,2956.40,Mikel ARTETA,Arsenal,-7.50,6.32
Arsenal v Manchester City,Second Half,2956.50,Mikel ARTETA,Arsenal,-7.40,6.40
Arsenal v Manchester City,Second Half,2956.60,Mikel ARTETA,Arsenal,-7.31,6.51
Arsenal v Manchester City,Second Half,2956.70,Mikel ARTETA,Arsenal,-7.22,6.64
Arsenal v Manchester City,Second Half,2956.80,Mikel ARTETA,Arsenal,-7.12,6.82
Arsenal v Manchester City,Second Half,2956.90,Mikel ARTETA,Arsenal,-7.02,7.03
Arsenal v Manchester City,Second Half,2957.00,Mikel ARTETA,Arsenal,-6.92,7.26
Arsenal v Manchester City,Second Half,2957.10,Mikel ARTETA,Arsenal,-6.82,7.50
Arsenal v Manchester City,Second Half,2957.20,Mikel ARTETA,Arsenal,-6.72,7.75
Arsenal v Manchester City,Second Half,2957.30,Mikel ARTETA,Arsenal,-6.62,7.99
Arsenal v Manchester City,Second Half,2957.40,Mikel ARTETA,Arsenal,-6.53,8.23
Arsenal v Manchester City,Second Half,2957.50,Mikel ARTETA,Arsenal,-6.45,8.44
Arsenal v Manchester City,Second Half,2957.60,Mikel ARTETA,Arsenal,-6.37,8.64
Arsenal v Manchester City,Second Half,2957.70,Mikel ARTETA,Arsenal,-6.30,8.81
Arsenal v Manchester City,Second Half,2957.80,Mikel ARTETA,Arsenal,-6.23,8.95
Arsenal v Manchester City,Second Half,2957.90,Mikel ARTETA,Arsenal,-6.17,9.09
Arsenal v Manchester City,Second Half,2958.00,Mikel ARTETA,Arsenal,-6.11,9.21
Arsenal v Manchester City,Second Half,2958.10,Mikel ARTETA,Arsenal,-6.06,9.33
Arsenal v Manchester City,Second Half,2958.20,Mikel ARTETA,Arsenal,-6.00,9.44
Arsenal v Manchester City,Second Half,2958.30,Mikel ARTETA,Arsenal,-5.95,9.55
Arsenal v Manchester City,Second Half,2958.40,Mikel ARTETA,Arsenal,-5.89,9.66
Arsenal v Manchester City,Second Half,2958.50,Mikel ARTETA,Arsenal,-5.82,9.78
Arsenal v Manchester City,Second Half,2958.60,Mikel ARTETA,Arsenal,-5.73,9.91
Arsenal v Manchester City,Second Half,2958.70,Mikel ARTETA,Arsenal,-5.63,10.05
Arsenal v Manchester City,Second Half,2958.80,Mikel ARTETA,Arsenal,-5.51,10.20
Arsenal v Manchester City,Second Half,2958.90,Mikel ARTETA,Arsenal,-5.38,10.36
Arsenal v Manchester City,Second Half,2959.00,Mikel ARTETA,Arsenal,-5.23,10.53
Arsenal v Manchester City,Second Half,2959.10,Mikel ARTETA,Arsenal,-5.09,10.70
Arsenal v Manchester City,Second Half,2959.20,Mikel ARTETA,Arsenal,-4.91,10.88
Arsenal v Manchester City,Second Half,2959.30,Mikel ARTETA,Arsenal,-4.71,11.07
Arsenal v Manchester City,Second Half,2959.40,Mikel ARTETA,Arsenal,-4.48,11.27
Arsenal v Manchester City,Second Half,2959.50,Mikel ARTETA,Arsenal,-4.22,11.48
Arsenal v Manchester City,Second Half,2959.60,Mikel ARTETA,Arsenal,-3.94,11.70
Arsenal v Manchester City,Second Half,2959.70,Mikel ARTETA,Arsenal,-3.61,11.94
Arsenal v Manchester City,Second Half,2959.80,Mikel ARTETA,Arsenal,-3.28,12.17
Arsenal v Manchester City,Second Half,2959.90,Mikel ARTETA,Arsenal,-2.93,12.41
Arsenal v Manchester City,Second Half,2960.00,Mikel ARTETA,Arsenal,-2.61,12.67
Arsenal v Manchester City,Second Half,2960.10,Mikel ARTETA,Arsenal,-2.32,12.94
Arsenal v Manchester City,Second Half,2960.20,Mikel ARTETA,Arsenal,-2.07,13.23
Arsenal v Manchester City,Second Half,2960.30,Mikel ARTETA,Arsenal,-1.88,13.51
Arsenal v Manchester City,Second Half,2960.40,Mikel ARTETA,Arsenal,-1.75,13.78
Arsenal v Manchester City,Second Half,2960.50,Mikel ARTETA,Arsenal,-1.70,14.04
Arsenal v Manchester City,Second Half,2960.60,Mikel ARTETA,Arsenal,-1.69,14.27
