Matchname,Half,Time,Player1Name,Player1ClubName,XPos,Ypos
Arsenal v Manchester City,Second Half,0.00,Samir NASRI,Manchester City,0.60,16.31
Arsenal v Manchester City,Second Half,0.10,Samir NASRI,Manchester City,0.60,16.31
Arsenal v Manchester City,Second Half,0.20,Samir NASRI,Manchester City,0.60,16.31
Arsenal v Manchester City,Second Half,0.30,Samir NASRI,Manchester City,0.60,16.31
Arsenal v Manchester City,Second Half,0.40,Samir NASRI,Manchester City,0.60,16.31
Arsenal v Manchester City,Second Half,0.50,Samir NASRI,Manchester City,0.54,16.32
Arsenal v Manchester City,Second Half,0.60,Samir NASRI,Manchester City,0.48,16.33
Arsenal v Manchester City,Second Half,0.70,Samir NASRI,Manchester City,0.39,16.35
Arsenal v Manchester City,Second Half,0.80,Samir NASRI,Manchester City,0.27,16.37
Arsenal v Manchester City,Second Half,0.90,Samir NASRI,Manchester City,0.12,16.40
Arsenal v Manchester City,Second Half,1.00,Samir NASRI,Manchester City,-0.04,16.44
Arsenal v Manchester City,Second Half,1.10,Samir NASRI,Manchester City,-0.21,16.47
Arsenal v Manchester City,Second Half,1.20,Samir NASRI,Manchester City,-0.41,16.51
Arsenal v Manchester City,Second Half,1.30,Samir NASRI,Manchester City,-0.63,16.56
Arsenal v Manchester City,Second Half,1.40,Samir NASRI,Manchester City,-0.87,16.61
Arsenal v Manchester City,Second Half,1.50,Samir NASRI,Manchester City,-1.14,16.68
Arsenal v Manchester City,Second Half,1.60,Samir NASRI,Manchester City,-1.43,16.75
Arsenal v Manchester City,Second Half,1.70,Samir NASRI,Manchester City,-1.75,16.83
Arsenal v Manchester City,Second Half,1.80,Samir NASRI,Manchester City,-2.05,16.90
Arsenal v Manchester City,Second Half,1.90,Samir NASRI,Manchester City,-2.33,16.98
Arsenal v Manchester City,Second Half,2.00,Samir NASRI,Manchester City,-2.59,17.05
Arsenal v Manchester City,Second Half,2.10,Samir NASRI,Manchester City,-2.82,17.11
Arsenal v Manchester City,Second Half,2.20,Samir NASRI,Manchester City,-3.04,17.15
Arsenal v Manchester City,Second Half,2.30,Samir NASRI,Manchester City,-3.26,17.16
Arsenal v Manchester City,Second Half,2.40,Samir NASRI,Manchester City,-3.50,17.13
Arsenal v Manchester City,Second Half,2.50,Samir NASRI,Manchester City,-3.77,17.08
Arsenal v Manchester City,Second Half,2.60,Samir NASRI,Manchester City,-4.06,16.99
Arsenal v Manchester City,Second Half,2.70,Samir NASRI,Manchester City,-4.39,16.86
Arsenal v Manchester City,Second Half,2.80,Samir NASRI,Manchester City,-4.70,16.74
Arsenal v Manchester City,Second Half,2.90,Samir NASRI,Manchester City,-4.97,16.61
Arsenal v Manchester City,Second Half,3.00,Samir NASRI,Manchester City,-5.21,16.49
Arsenal v Manchester City,Second Half,3.10,Samir NASRI,Manchester City,-5.42,16.38
Arsenal v Manchester City,Second Half,3.20,Samir NASRI,Manchester City,-5.58,16.28
Arsenal v Manchester City,Second Half,3.30,Samir NASRI,Manchester City,-5.69,16.19
Arsenal v Manchester City,Second Half,3.40,Samir NASRI,Manchester City,-5.78,16.11
Arsenal v Manchester City,Second Half,3.50,Samir NASRI,Manchester City,-5.86,16.04
Arsenal v Manchester City,Second Half,3.60,Samir NASRI,Manchester City,-5.93,15.97
Arsenal v Manchester City,Second Half,3.70,Samir NASRI,Manchester City,-5.99,15.91
Arsenal v Manchester City,Second Half,3.80,Samir NASRI,Manchester City,-6.04,15.84
Arsenal v Manchester City,Second Half,3.90,Samir NASRI,Manchester City,-6.09,15.77
Arsenal v Manchester City,Second Half,4.00,Samir NASRI,Manchester City,-6.15,15.70
Arsenal v Manchester City,Second Half,4.10,Samir NASRI,Manchester City,-6.21,15.62
Arsenal v Manchester City,Second Half,4.20,Samir NASRI,Manchester City,-6.28,15.53
Arsenal v Manchester City,Second Half,4.30,Samir NASRI,Manchester City,-6.35,15.44
Arsenal v Manchester City,Second Half,4.40,Samir NASRI,Manchester City,-6.43,15.34
Arsenal v Manchester City,Second Half,4.50,Samir NASRI,Manchester City,-6.51,15.24
Arsenal v Manchester City,Second Half,4.60,Samir NASRI,Manchester City,-6.59,15.15
Arsenal v Manchester City,Second Half,4.70,Samir NASRI,Manchester City,-6.67,15.05
Arsenal v Manchester City,Second Half,4.80,Samir NASRI,Manchester City,-6.75,14.96
Arsenal v Manchester City,Second Half,4.90,Samir NASRI,Manchester City,-6.83,14.88
Arsenal v Manchester City,Second Half,5.00,Samir NASRI,Manchester City,-6.92,14.79
Arsenal v Manchester City,Second Half,5.10,Samir NASRI,Manchester City,-7.02,14.69
Arsenal v Manchester City,Second Half,5.20,Samir NASRI,Manchester City,-7.14,14.57
Arsenal v Manchester City,Second Half,5.30,Samir NASRI,Manchester City,-7.27,14.43
Arsenal v Manchester City,Second Half,5.40,Samir NASRI,Manchester City,-7.40,14.30
Arsenal v Manchester City,Second Half,5.50,Samir NASRI,Manchester City,-7.54,14.16
Arsenal v Manchester City,Second Half,5.60,Samir NASRI,Manchester City,-7.66,14.03
Arsenal v Manchester City,Second Half,5.70,Samir NASRI,Manchester City,-7.77,13.92
Arsenal v Manchester City,Second Half,5.80,Samir NASRI,Manchester City,-7.85,13.82
Arsenal v Manchester City,Second Half,5.90,Samir NASRI,Manchester City,-7.91,13.72
Arsenal v Manchester City,Second Half,6.00,Samir NASRI,Manchester City,-7.95,13.61
Arsenal v Manchester City,Second Half,6.10,Samir NASRI,Manchester City,-7.98,13.49
Arsenal v Manchester City,Second Half,6.20,Samir NASRI,Manchester City,-8.00,13.37
Arsenal v Manchester City,Second Half,6.30,Samir NASRI,Manchester City,-8.02,13.25
Arsenal v Manchester City,Second Half,6.40,Samir NASRI,Manchester City,-8.03,13.14
Arsenal v Manchester City,Second Half,6.50,Samir NASRI,Manchester City,-8.04,13.04
Arsenal v Manchester City,Second Half,6.60,Samir NASRI,Manchester City,-8.06,12.93
Arsenal v Manchester City,Second Half,6.70,Samir NASRI,Manchester City,-8.09,12.81
Arsenal v Manchester City,Second Half,6.80,Samir NASRI,Manchester City,-8.13,12.67
Arsenal v Manchester City,Second Half,6.90,Samir NASRI,Manchester City,-8.18,12.50
Arsenal v Manchester City,Second Half,7.00,Samir NASRI,Manchester City,-8.23,12.33
Arsenal v Manchester City,Second Half,7.10,Samir NASRI,Manchester City,-8.28,12.16
Arsenal v Manchester City,Second Half,7.20,Samir NASRI,Manchester City,-8.32,12.01
Arsenal v Manchester City,Second Half,7.30,Samir NASRI,Manchester City,-8.36,11.88
Arsenal v Manchester City,Second Half,7.40,Samir NASRI,Manchester City,-8.39,11.78
Arsenal v Manchester City,Second Half,7.50,Samir NASRI,Manchester City,-8.41,11.71
Arsenal v Manchester City,Second Half,7.60,Samir NASRI,Manchester City,-8.42,11.66
Arsenal v Manchester City,Second Half,7.70,Samir NASRI,Manchester City,-8.43,11.61
Arsenal v Manchester City,Second Half,7.80,Samir NASRI,Manchester City,-8.45,11.57
Arsenal v Manchester City,Second Half,7.90,Samir NASRI,Manchester City,-8.48,11.53
Arsenal v Manchester City,Second Half,8.00,Samir NASRI,Manchester City,-8.51,11.49
Arsenal v Manchester City,Second Half,8.10,Samir NASRI,Manchester City,-8.55,11.45
Arsenal v Manchester City,Second Half,8.20,Samir NASRI,Manchester City,-8.60,11.40
Arsenal v Manchester City,Second Half,8.30,Samir NASRI,Manchester City,-8.66,11.35
Arsenal v Manchester City,Second Half,8.40,Samir NASRI,Manchester City,-8.75,11.29
Arsenal v Manchester City,Second Half,8.50,Samir NASRI,Manchester City,-8.86,11.22
Arsenal v Manchester City,Second Half,8.60,Samir NASRI,Manchester City,-9.01,11.14
Arsenal v Manchester City,Second Half,8.70,Samir NASRI,Manchester City,-9.18,11.05
Arsenal v Manchester City,Second Half,8.80,Samir NASRI,Manchester City,-9.38,10.96
Arsenal v Manchester City,Second Half,8.90,Samir NASRI,Manchester City,-9.60,10.87
Arsenal v Manchester City,Second Half,9.00,Samir NASRI,Manchester City,-9.82,10.78
Arsenal v Manchester City,Second Half,9.10,Samir NASRI,Manchester City,-10.03,10.70
Arsenal v Manchester City,Second Half,9.20,Samir NASRI,Manchester City,-10.23,10.62
Arsenal v Manchester City,Second Half,9.30,Samir NASRI,Manchester City,-10.43,10.55
Arsenal v Manchester City,Second Half,9.40,Samir NASRI,Manchester City,-10.62,10.49
Arsenal v Manchester City,Second Half,9.50,Samir NASRI,Manchester City,-10.81,10.43
Arsenal v Manchester City,Second Half,9.60,Samir NASRI,Manchester City,-11.04,10.38
Arsenal v Manchester City,Second Half,9.70,Samir NASRI,Manchester City,-11.30,10.34
Arsenal v Manchester City,Second Half,9.80,Samir NASRI,Manchester City,-11.60,10.33
Arsenal v Manchester City,Second Half,9.90,Samir NASRI,Manchester City,-11.95,10.32
Arsenal v Manchester City,Second Half,10.00,Samir NASRI,Manchester City,-12.31,10.33
Arsenal v Manchester City,Second Half,10.10,Samir NASRI,Manchester City,-12.68,10.34
Arsenal v Manchester City,Second Half,10.20,Samir NASRI,Manchester City,-13.02,10.35
Arsenal v Manchester City,Second Half,10.30,Samir NASRI,Manchester City,-13.33,10.36
Arsenal v Manchester City,Second Half,10.40,Samir NASRI,Manchester City,-13.61,10.36
Arsenal v Manchester City,Second Half,10.50,Samir NASRI,Manchester City,-13.83,10.35
Arsenal v Manchester City,Second Half,10.60,Samir NASRI,Manchester City,-14.04,10.34
Arsenal v Manchester City,Second Half,10.70,Samir NASRI,Manchester City,-14.23,10.32
Arsenal v Manchester City,Second Half,10.80,Samir NASRI,Manchester City,-14.39,10.30
Arsenal v Manchester City,Second Half,10.90,Samir NASRI,Manchester City,-14.54,10.27
Arsenal v Manchester City,Second Half,11.00,Samir NASRI,Manchester City,-14.66,10.25
Arsenal v Manchester City,Second Half,11.10,Samir NASRI,Manchester City,-14.77,10.21
Arsenal v Manchester City,Second Half,11.20,Samir NASRI,Manchester City,-14.87,10.18
Arsenal v Manchester City,Second Half,11.30,Samir NASRI,Manchester City,-14.96,10.14
Arsenal v Manchester City,Second Half,11.40,Samir NASRI,Manchester City,-15.03,10.04
Arsenal v Manchester City,Second Half,11.50,Samir NASRI,Manchester City,-15.08,9.88
Arsenal v Manchester City,Second Half,11.60,Samir NASRI,Manchester City,-15.08,9.69
Arsenal v Manchester City,Second Half,11.70,Samir NASRI,Manchester City,-15.04,9.47
Arsenal v Manchester City,Second Half,11.80,Samir NASRI,Manchester City,-14.94,9.24
Arsenal v Manchester City,Second Half,11.90,Samir NASRI,Manchester City,-14.79,8.97
Arsenal v Manchester City,Second Half,12.00,Samir NASRI,Manchester City,-14.60,8.72
Arsenal v Manchester City,Second Half,12.10,Samir NASRI,Manchester City,-14.35,8.49
Arsenal v Manchester City,Second Half,12.20,Samir NASRI,Manchester City,-14.09,8.23
Arsenal v Manchester City,Second Half,12.30,Samir NASRI,Manchester City,-13.81,7.94
Arsenal v Manchester City,Second Half,12.40,Samir NASRI,Manchester City,-13.52,7.65
Arsenal v Manchester City,Second Half,12.50,Samir NASRI,Manchester City,-13.25,7.35
Arsenal v Manchester City,Second Half,12.60,Samir NASRI,Manchester City,-12.98,7.08
Arsenal v Manchester City,Second Half,12.70,Samir NASRI,Manchester City,-12.73,6.83
Arsenal v Manchester City,Second Half,12.80,Samir NASRI,Manchester City,-12.49,6.61
Arsenal v Manchester City,Second Half,12.90,Samir NASRI,Manchester City,-12.28,6.42
Arsenal v Manchester City,Second Half,13.00,Samir NASRI,Manchester City,-12.05,6.24
Arsenal v Manchester City,Second Half,13.10,Samir NASRI,Manchester City,-11.79,6.07
Arsenal v Manchester City,Second Half,13.20,Samir NASRI,Manchester City,-11.49,5.90
Arsenal v Manchester City,Second Half,13.30,Samir NASRI,Manchester City,-11.17,5.73
Arsenal v Manchester City,Second Half,13.40,Samir NASRI,Manchester City,-10.83,5.58
Arsenal v Manchester City,Second Half,13.50,Samir NASRI,Manchester City,-10.47,5.44
Arsenal v Manchester City,Second Half,13.60,Samir NASRI,Manchester City,-10.12,5.31
Arsenal v Manchester City,Second Half,13.70,Samir NASRI,Manchester City,-9.79,5.19
Arsenal v Manchester City,Second Half,13.80,Samir NASRI,Manchester City,-9.48,5.09
Arsenal v Manchester City,Second Half,13.90,Samir NASRI,Manchester City,-9.20,5.00
Arsenal v Manchester City,Second Half,14.00,Samir NASRI,Manchester City,-8.90,4.89
Arsenal v Manchester City,Second Half,14.10,Samir NASRI,Manchester City,-8.57,4.77
Arsenal v Manchester City,Second Half,14.20,Samir NASRI,Manchester City,-8.22,4.63
Arsenal v Manchester City,Second Half,14.30,Samir NASRI,Manchester City,-7.84,4.47
Arsenal v Manchester City,Second Half,14.40,Samir NASRI,Manchester City,-7.47,4.29
Arsenal v Manchester City,Second Half,14.50,Samir NASRI,Manchester City,-7.12,4.10
Arsenal v Manchester City,Second Half,14.60,Samir NASRI,Manchester City,-6.81,3.91
Arsenal v Manchester City,Second Half,14.70,Samir NASRI,Manchester City,-6.56,3.72
Arsenal v Manchester City,Second Half,14.80,Samir NASRI,Manchester City,-6.37,3.55
Arsenal v Manchester City,Second Half,14.90,Samir NASRI,Manchester City,-6.25,3.38
Arsenal v Manchester City,Second Half,15.00,Samir NASRI,Manchester City,-6.14,3.23
Arsenal v Manchester City,Second Half,15.10,Samir NASRI,Manchester City,-6.06,3.09
Arsenal v Manchester City,Second Half,15.20,Samir NASRI,Manchester City,-5.99,2.97
Arsenal v Manchester City,Second Half,15.30,Samir NASRI,Manchester City,-5.94,2.87
Arsenal v Manchester City,Second Half,15.40,Samir NASRI,Manchester City,-5.90,2.79
Arsenal v Manchester City,Second Half,15.50,Samir NASRI,Manchester City,-5.86,2.73
Arsenal v Manchester City,Second Half,15.60,Samir NASRI,Manchester City,-5.83,2.69
Arsenal v Manchester City,Second Half,15.70,Samir NASRI,Manchester City,-5.80,2.69
Arsenal v Manchester City,Second Half,15.80,Samir NASRI,Manchester City,-5.77,2.71
Arsenal v Manchester City,Second Half,15.90,Samir NASRI,Manchester City,-5.73,2.75
Arsenal v Manchester City,Second Half,16.00,Samir NASRI,Manchester City,-5.70,2.83
Arsenal v Manchester City,Second Half,16.10,Samir NASRI,Manchester City,-5.66,2.94
Arsenal v Manchester City,Second Half,16.20,Samir NASRI,Manchester City,-5.65,3.09
Arsenal v Manchester City,Second Half,16.30,Samir NASRI,Manchester City,-5.66,3.30
Arsenal v Manchester City,Second Half,16.40,Samir NASRI,Manchester City,-5.70,3.55
Arsenal v Manchester City,Second Half,16.50,Samir NASRI,Manchester City,-5.77,3.85
Arsenal v Manchester City,Second Half,16.60,Samir NASRI,Manchester City,-5.86,4.17
Arsenal v Manchester City,Second Half,16.70,Samir NASRI,Manchester City,-5.95,4.49
Arsenal v Manchester City,Second Half,16.80,Samir NASRI,Manchester City,-6.03,4.78
Arsenal v Manchester City,Second Half,16.90,Samir NASRI,Manchester City,-6.09,5.04
Arsenal v Manchester City,Second Half,17.00,Samir NASRI,Manchester City,-6.13,5.37
Arsenal v Manchester City,Second Half,17.10,Samir NASRI,Manchester City,-6.16,5.78
Arsenal v Manchester City,Second Half,17.20,Samir NASRI,Manchester City,-6.18,5.95
Arsenal v Manchester City,Second Half,17.30,Samir NASRI,Manchester City,-6.20,6.13
Arsenal v Manchester City,Second Half,17.40,Samir NASRI,Manchester City,-6.22,6.35
Arsenal v Manchester City,Second Half,17.50,Samir NASRI,Manchester City,-6.25,6.59
Arsenal v Manchester City,Second Half,17.60,Samir NASRI,Manchester City,-6.27,6.78
Arsenal v Manchester City,Second Half,17.70,Samir NASRI,Manchester City,-6.28,6.88
Arsenal v Manchester City,Second Half,17.80,Samir NASRI,Manchester City,-6.28,7.30
Arsenal v Manchester City,Second Half,17.90,Samir NASRI,Manchester City,-6.28,7.74
