Matchname,Half,Time,Player1Name,Player1ClubName,XPos,Ypos
Arsenal v Manchester City,First Half,0.00,Sergio AGUERO,Manchester City,0.26,-8.93
Arsenal v Manchester City,First Half,0.10,Sergio AGUERO,Manchester City,0.23,-8.87
Arsenal v Manchester City,First Half,0.20,Sergio AGUERO,Manchester City,0.20,-8.81
Arsenal v Manchester City,First Half,0.30,Sergio AGUERO,Manchester City,0.20,-8.81
Arsenal v Manchester City,First Half,0.40,Sergio AGUERO,Manchester City,0.20,-8.81
Arsenal v Manchester City,First Half,0.50,Sergio AGUERO,Manchester City,0.07,-8.95
Arsenal v Manchester City,First Half,0.60,Sergio AGUERO,Manchester City,0.09,-8.93
Arsenal v Manchester City,First Half,0.70,Sergio AGUERO,Manchester City,0.14,-8.88
Arsenal v Manchester City,First Half,0.80,Sergio AGUERO,Manchester City,0.23,-8.81
Arsenal v Manchester City,First Half,0.90,Sergio AGUERO,Manchester City,0.36,-8.71
Arsenal v Manchester City,First Half,1.00,Sergio AGUERO,Manchester City,0.51,-8.61
Arsenal v Manchester City,First Half,1.10,Sergio AGUERO,Manchester City,0.68,-8.50
Arsenal v Manchester City,First Half,1.20,Sergio AGUERO,Manchester City,0.87,-8.39
Arsenal v Manchester City,First Half,1.30,Sergio AGUERO,Manchester City,1.08,-8.29
Arsenal v Manchester City,First Half,1.40,Sergio AGUERO,Manchester City,1.30,-8.20
Arsenal v Manchester City,First Half,1.50,Sergio AGUERO,Manchester City,1.53,-8.12
Arsenal v Manchester City,First Half,1.60,Sergio AGUERO,Manchester City,1.76,-8.04
Arsenal v Manchester City,First Half,1.70,Sergio AGUERO,Manchester City,1.98,-7.94
Arsenal v Manchester City,First Half,1.80,Sergio AGUERO,Manchester City,2.20,-7.84
Arsenal v Manchester City,First Half,1.90,Sergio AGUERO,Manchester City,2.42,-7.73
Arsenal v Manchester City,First Half,2.00,Sergio AGUERO,Manchester City,2.62,-7.60
Arsenal v Manchester City,First Half,2.10,Sergio AGUERO,Manchester City,2.81,-7.46
Arsenal v Manchester City,First Half,2.20,Sergio AGUERO,Manchester City,3.00,-7.32
Arsenal v Manchester City,First Half,2.30,Sergio AGUERO,Manchester City,3.19,-7.17
Arsenal v Manchester City,First Half,2.40,Sergio AGUERO,Manchester City,3.37,-7.01
Arsenal v Manchester City,First Half,2.50,Sergio AGUERO,Manchester City,3.55,-6.86
Arsenal v Manchester City,First Half,2.60,Sergio AGUERO,Manchester City,3.72,-6.70
Arsenal v Manchester City,First Half,2.70,Sergio AGUERO,Manchester City,3.90,-6.53
Arsenal v Manchester City,First Half,2.80,Sergio AGUERO,Manchester City,4.06,-6.39
Arsenal v Manchester City,First Half,2.90,Sergio AGUERO,Manchester City,4.19,-6.28
Arsenal v Manchester City,First Half,3.00,Sergio AGUERO,Manchester City,4.31,-6.20
Arsenal v Manchester City,First Half,3.10,Sergio AGUERO,Manchester City,4.40,-6.14
Arsenal v Manchester City,First Half,3.20,Sergio AGUERO,Manchester City,4.47,-6.13
Arsenal v Manchester City,First Half,3.30,Sergio AGUERO,Manchester City,4.51,-6.15
Arsenal v Manchester City,First Half,3.40,Sergio AGUERO,Manchester City,4.54,-6.18
Arsenal v Manchester City,First Half,3.50,Sergio AGUERO,Manchester City,4.56,-6.23
Arsenal v Manchester City,First Half,3.60,Sergio AGUERO,Manchester City,4.57,-6.29
Arsenal v Manchester City,First Half,3.70,Sergio AGUERO,Manchester City,4.57,-6.36
Arsenal v Manchester City,First Half,3.80,Sergio AGUERO,Manchester City,4.56,-6.45
Arsenal v Manchester City,First Half,3.90,Sergio AGUERO,Manchester City,4.54,-6.56
Arsenal v Manchester City,First Half,4.00,Sergio AGUERO,Manchester City,4.51,-6.69
Arsenal v Manchester City,First Half,4.10,Sergio AGUERO,Manchester City,4.47,-6.84
Arsenal v Manchester City,First Half,4.20,Sergio AGUERO,Manchester City,4.41,-7.00
Arsenal v Manchester City,First Half,4.30,Sergio AGUERO,Manchester City,4.35,-7.19
Arsenal v Manchester City,First Half,4.40,Sergio AGUERO,Manchester City,4.28,-7.39
Arsenal v Manchester City,First Half,4.50,Sergio AGUERO,Manchester City,4.20,-7.59
Arsenal v Manchester City,First Half,4.60,Sergio AGUERO,Manchester City,4.14,-7.79
Arsenal v Manchester City,First Half,4.70,Sergio AGUERO,Manchester City,4.10,-7.99
Arsenal v Manchester City,First Half,4.80,Sergio AGUERO,Manchester City,4.09,-8.17
Arsenal v Manchester City,First Half,4.90,Sergio AGUERO,Manchester City,4.10,-8.35
Arsenal v Manchester City,First Half,5.00,Sergio AGUERO,Manchester City,4.14,-8.51
Arsenal v Manchester City,First Half,5.10,Sergio AGUERO,Manchester City,4.22,-8.65
Arsenal v Manchester City,First Half,5.20,Sergio AGUERO,Manchester City,4.31,-8.80
Arsenal v Manchester City,First Half,5.30,Sergio AGUERO,Manchester City,4.41,-8.93
Arsenal v Manchester City,First Half,5.40,Sergio AGUERO,Manchester City,4.51,-9.06
Arsenal v Manchester City,First Half,5.50,Sergio AGUERO,Manchester City,4.63,-9.19
Arsenal v Manchester City,First Half,5.60,Sergio AGUERO,Manchester City,4.77,-9.27
Arsenal v Manchester City,First Half,5.70,Sergio AGUERO,Manchester City,4.92,-9.30
Arsenal v Manchester City,First Half,5.80,Sergio AGUERO,Manchester City,5.08,-9.27
Arsenal v Manchester City,First Half,5.90,Sergio AGUERO,Manchester City,5.27,-9.18
Arsenal v Manchester City,First Half,6.00,Sergio AGUERO,Manchester City,5.47,-9.03
Arsenal v Manchester City,First Half,6.10,Sergio AGUERO,Manchester City,5.68,-8.81
Arsenal v Manchester City,First Half,6.20,Sergio AGUERO,Manchester City,5.91,-8.57
Arsenal v Manchester City,First Half,6.30,Sergio AGUERO,Manchester City,6.13,-8.31
Arsenal v Manchester City,First Half,6.40,Sergio AGUERO,Manchester City,6.36,-8.05
Arsenal v Manchester City,First Half,6.50,Sergio AGUERO,Manchester City,6.59,-7.78
Arsenal v Manchester City,First Half,6.60,Sergio AGUERO,Manchester City,6.82,-7.51
Arsenal v Manchester City,First Half,6.70,Sergio AGUERO,Manchester City,7.05,-7.25
Arsenal v Manchester City,First Half,6.80,Sergio AGUERO,Manchester City,7.28,-6.98
Arsenal v Manchester City,First Half,6.90,Sergio AGUERO,Manchester City,7.51,-6.72
Arsenal v Manchester City,First Half,7.00,Sergio AGUERO,Manchester City,7.75,-6.48
Arsenal v Manchester City,First Half,7.10,Sergio AGUERO,Manchester City,7.98,-6.28
Arsenal v Manchester City,First Half,7.20,Sergio AGUERO,Manchester City,8.22,-6.11
Arsenal v Manchester City,First Half,7.30,Sergio AGUERO,Manchester City,8.46,-5.98
Arsenal v Manchester City,First Half,7.40,Sergio AGUERO,Manchester City,8.70,-5.90
Arsenal v Manchester City,First Half,7.50,Sergio AGUERO,Manchester City,8.95,-5.86
Arsenal v Manchester City,First Half,7.60,Sergio AGUERO,Manchester City,9.20,-5.83
Arsenal v Manchester City,First Half,7.70,Sergio AGUERO,Manchester City,9.45,-5.83
Arsenal v Manchester City,First Half,7.80,Sergio AGUERO,Manchester City,9.70,-5.84
Arsenal v Manchester City,First Half,7.90,Sergio AGUERO,Manchester City,9.95,-5.86
Arsenal v Manchester City,First Half,8.00,Sergio AGUERO,Manchester City,10.17,-5.91
Arsenal v Manchester City,First Half,8.10,Sergio AGUERO,Manchester City,10.35,-5.99
Arsenal v Manchester City,First Half,8.20,Sergio AGUERO,Manchester City,10.50,-6.11
Arsenal v Manchester City,First Half,8.30,Sergio AGUERO,Manchester City,10.61,-6.25
Arsenal v Manchester City,First Half,8.40,Sergio AGUERO,Manchester City,10.68,-6.43
Arsenal v Manchester City,First Half,8.50,Sergio AGUERO,Manchester City,10.70,-6.65
Arsenal v Manchester City,First Half,8.60,Sergio AGUERO,Manchester City,10.70,-6.88
Arsenal v Manchester City,First Half,8.70,Sergio AGUERO,Manchester City,10.68,-7.12
Arsenal v Manchester City,First Half,8.80,Sergio AGUERO,Manchester City,10.65,-7.38
Arsenal v Manchester City,First Half,8.90,Sergio AGUERO,Manchester City,10.60,-7.64
Arsenal v Manchester City,First Half,9.00,Sergio AGUERO,Manchester City,10.56,-7.91
Arsenal v Manchester City,First Half,9.10,Sergio AGUERO,Manchester City,10.52,-8.16
Arsenal v Manchester City,First Half,9.20,Sergio AGUERO,Manchester City,10.49,-8.41
Arsenal v Manchester City,First Half,9.30,Sergio AGUERO,Manchester City,10.47,-8.64
Arsenal v Manchester City,First Half,9.40,Sergio AGUERO,Manchester City,10.46,-8.86
Arsenal v Manchester City,First Half,9.50,Sergio AGUERO,Manchester City,10.47,-9.07
Arsenal v Manchester City,First Half,9.60,Sergio AGUERO,Manchester City,10.48,-9.27
Arsenal v Manchester City,First Half,9.70,Sergio AGUERO,Manchester City,10.50,-9.46
Arsenal v Manchester City,First Half,9.80,Sergio AGUERO,Manchester City,10.52,-9.65
Arsenal v Manchester City,First Half,9.90,Sergio AGUERO,Manchester City,10.54,-9.84
Arsenal v Manchester City,First Half,10.00,Sergio AGUERO,Manchester City,10.57,-10.02
Arsenal v Manchester City,First Half,10.10,Sergio AGUERO,Manchester City,10.60,-10.20
Arsenal v Manchester City,First Half,10.20,Sergio AGUERO,Manchester City,10.63,-10.38
Arsenal v Manchester City,First Half,10.30,Sergio AGUERO,Manchester City,10.66,-10.56
Arsenal v Manchester City,First Half,10.40,Sergio AGUERO,Manchester City,10.69,-10.73
Arsenal v Manchester City,First Half,10.50,Sergio AGUERO,Manchester City,10.72,-10.91
Arsenal v Manchester City,First Half,10.60,Sergio AGUERO,Manchester City,10.76,-11.10
Arsenal v Manchester City,First Half,10.70,Sergio AGUERO,Manchester City,10.80,-11.32
Arsenal v Manchester City,First Half,10.80,Sergio AGUERO,Manchester City,10.84,-11.56
Arsenal v Manchester City,First Half,10.90,Sergio AGUERO,Manchester City,10.89,-11.83
Arsenal v Manchester City,First Half,11.00,Sergio AGUERO,Manchester City,10.94,-12.13
Arsenal v Manchester City,First Half,11.10,Sergio AGUERO,Manchester City,11.00,-12.46
Arsenal v Manchester City,First Half,11.20,Sergio AGUERO,Manchester City,11.06,-12.78
Arsenal v Manchester City,First Half,11.30,Sergio AGUERO,Manchester City,11.14,-13.09
Arsenal v Manchester City,First Half,11.40,Sergio AGUERO,Manchester City,11.23,-13.39
Arsenal v Manchester City,First Half,11.50,Sergio AGUERO,Manchester City,11.33,-13.68
Arsenal v Manchester City,First Half,11.60,Sergio AGUERO,Manchester City,11.45,-13.94
Arsenal v Manchester City,First Half,11.70,Sergio AGUERO,Manchester City,11.58,-14.18
Arsenal v Manchester City,First Half,11.80,Sergio AGUERO,Manchester City,11.70,-14.41
Arsenal v Manchester City,First Half,11.90,Sergio AGUERO,Manchester City,11.81,-14.64
Arsenal v Manchester City,First Half,12.00,Sergio AGUERO,Manchester City,11.90,-14.86
Arsenal v Manchester City,First Half,12.10,Sergio AGUERO,Manchester City,11.97,-15.07
Arsenal v Manchester City,First Half,12.20,Sergio AGUERO,Manchester City,12.02,-15.24
Arsenal v Manchester City,First Half,12.30,Sergio AGUERO,Manchester City,12.05,-15.36
Arsenal v Manchester City,First Half,12.40,Sergio AGUERO,Manchester City,12.08,-15.44
Arsenal v Manchester City,First Half,12.50,Sergio AGUERO,Manchester City,12.10,-15.45
Arsenal v Manchester City,First Half,12.60,Sergio AGUERO,Manchester City,12.11,-15.41
Arsenal v Manchester City,First Half,12.70,Sergio AGUERO,Manchester City,12.12,-15.30
Arsenal v Manchester City,First Half,12.80,Sergio AGUERO,Manchester City,12.13,-15.17
Arsenal v Manchester City,First Half,12.90,Sergio AGUERO,Manchester City,12.13,-15.02
Arsenal v Manchester City,First Half,13.00,Sergio AGUERO,Manchester City,12.13,-14.84
Arsenal v Manchester City,First Half,13.10,Sergio AGUERO,Manchester City,12.13,-14.65
Arsenal v Manchester City,First Half,13.20,Sergio AGUERO,Manchester City,12.19,-14.44
Arsenal v Manchester City,First Half,13.30,Sergio AGUERO,Manchester City,12.26,-14.22
Arsenal v Manchester City,First Half,13.40,Sergio AGUERO,Manchester City,12.32,-14.00
Arsenal v Manchester City,First Half,13.50,Sergio AGUERO,Manchester City,12.37,-13.76
Arsenal v Manchester City,First Half,13.60,Sergio AGUERO,Manchester City,12.36,-13.47
Arsenal v Manchester City,First Half,13.70,Sergio AGUERO,Manchester City,12.35,-13.19
Arsenal v Manchester City,First Half,13.80,Sergio AGUERO,Manchester City,12.26,-12.88
Arsenal v Manchester City,First Half,13.90,Sergio AGUERO,Manchester City,12.15,-12.56
Arsenal v Manchester City,First Half,14.00,Sergio AGUERO,Manchester City,12.02,-12.24
Arsenal v Manchester City,First Half,14.10,Sergio AGUERO,Manchester City,11.89,-11.92
Arsenal v Manchester City,First Half,14.20,Sergio AGUERO,Manchester City,11.80,-11.66
Arsenal v Manchester City,First Half,14.30,Sergio AGUERO,Manchester City,11.72,-11.37
Arsenal v Manchester City,First Half,14.40,Sergio AGUERO,Manchester City,11.61,-11.08
Arsenal v Manchester City,First Half,14.50,Sergio AGUERO,Manchester City,11.49,-10.78
Arsenal v Manchester City,First Half,14.60,Sergio AGUERO,Manchester City,11.36,-10.41
Arsenal v Manchester City,First Half,14.70,Sergio AGUERO,Manchester City,11.25,-10.00
Arsenal v Manchester City,First Half,14.80,Sergio AGUERO,Manchester City,11.14,-9.51
Arsenal v Manchester City,First Half,14.90,Sergio AGUERO,Manchester City,11.04,-8.94
Arsenal v Manchester City,First Half,15.00,Sergio AGUERO,Manchester City,10.98,-8.33
Arsenal v Manchester City,First Half,15.10,Sergio AGUERO,Manchester City,10.98,-7.63
Arsenal v Manchester City,First Half,15.20,Sergio AGUERO,Manchester City,11.01,-6.95
Arsenal v Manchester City,First Half,15.30,Sergio AGUERO,Manchester City,11.03,-6.28
Arsenal v Manchester City,First Half,15.40,Sergio AGUERO,Manchester City,11.05,-5.63
Arsenal v Manchester City,First Half,15.50,Sergio AGUERO,Manchester City,11.20,-4.86
Arsenal v Manchester City,First Half,15.60,Sergio AGUERO,Manchester City,11.40,-4.06
Arsenal v Manchester City,First Half,15.70,Sergio AGUERO,Manchester City,11.61,-3.27
Arsenal v Manchester City,First Half,15.80,Sergio AGUERO,Manchester City,11.85,-2.52
Arsenal v Manchester City,First Half,15.90,Sergio AGUERO,Manchester City,12.11,-1.69
Arsenal v Manchester City,First Half,16.00,Sergio AGUERO,Manchester City,12.38,-0.76
Arsenal v Manchester City,First Half,16.10,Sergio AGUERO,Manchester City,12.53,0.06
Arsenal v Manchester City,First Half,16.20,Sergio AGUERO,Manchester City,12.63,0.83
Arsenal v Manchester City,First Half,16.30,Sergio AGUERO,Manchester City,12.71,1.57
Arsenal v Manchester City,First Half,16.40,Sergio AGUERO,Manchester City,12.79,2.33
Arsenal v Manchester City,First Half,16.50,Sergio AGUERO,Manchester City,12.88,3.03
Arsenal v Manchester City,First Half,16.60,Sergio AGUERO,Manchester City,12.97,3.63
Arsenal v Manchester City,First Half,16.70,Sergio AGUERO,Manchester City,13.08,4.15
Arsenal v Manchester City,First Half,16.80,Sergio AGUERO,Manchester City,13.20,4.64
Arsenal v Manchester City,First Half,16.90,Sergio AGUERO,Manchester City,13.31,5.11
Arsenal v Manchester City,First Half,17.00,Sergio AGUERO,Manchester City,13.43,5.60
Arsenal v Manchester City,First Half,17.10,Sergio AGUERO,Manchester City,13.53,6.11
Arsenal v Manchester City,First Half,17.20,Sergio AGUERO,Manchester City,13.63,6.65
Arsenal v Manchester City,First Half,17.30,Sergio AGUERO,Manchester City,13.72,7.23
Arsenal v Manchester City,First Half,17.40,Sergio AGUERO,Manchester City,13.79,7.86
Arsenal v Manchester City,First Half,17.50,Sergio AGUERO,Manchester City,13.86,8.55
Arsenal v Manchester City,First Half,17.60,Sergio AGUERO,Manchester City,13.92,9.25
Arsenal v Manchester City,First Half,17.70,Sergio AGUERO,Manchester City,13.97,9.98
Arsenal v Manchester City,First Half,17.80,Sergio AGUERO,Manchester City,14.03,10.67
Arsenal v Manchester City,First Half,17.90,Sergio AGUERO,Manchester City,14.08,11.32
Arsenal v Manchester City,First Half,18.00,Sergio AGUERO,Manchester City,14.13,11.93
Arsenal v Manchester City,First Half,18.10,Sergio AGUERO,Manchester City,14.19,12.48
Arsenal v Manchester City,First Half,18.20,Sergio AGUERO,Manchester City,14.24,12.96
Arsenal v Manchester City,First Half,18.30,Sergio AGUERO,Manchester City,14.30,13.38
Arsenal v Manchester City,First Half,18.40,Sergio AGUERO,Manchester City,14.35,13.77
Arsenal v Manchester City,First Half,18.50,Sergio AGUERO,Manchester City,14.41,14.14
Arsenal v Manchester City,First Half,18.60,Sergio AGUERO,Manchester City,14.45,14.48
Arsenal v Manchester City,First Half,18.70,Sergio AGUERO,Manchester City,14.49,14.79
Arsenal v Manchester City,First Half,18.80,Sergio AGUERO,Manchester City,14.50,15.07
Arsenal v Manchester City,First Half,18.90,Sergio AGUERO,Manchester City,14.51,15.33
Arsenal v Manchester City,First Half,19.00,Sergio AGUERO,Manchester City,14.50,15.57
Arsenal v Manchester City,First Half,19.10,Sergio AGUERO,Manchester City,14.47,15.78
Arsenal v Manchester City,First Half,19.20,Sergio AGUERO,Manchester City,14.43,15.99
Arsenal v Manchester City,First Half,19.30,Sergio AGUERO,Manchester City,14.39,16.18
Arsenal v Manchester City,First Half,19.40,Sergio AGUERO,Manchester City,14.34,16.37
Arsenal v Manchester City,First Half,19.50,Sergio AGUERO,Manchester City,14.29,16.55
Arsenal v Manchester City,First Half,19.60,Sergio AGUERO,Manchester City,14.23,16.73
Arsenal v Manchester City,First Half,19.70,Sergio AGUERO,Manchester City,14.17,16.90
Arsenal v Manchester City,First Half,19.80,Sergio AGUERO,Manchester City,14.11,17.07
Arsenal v Manchester City,First Half,19.90,Sergio AGUERO,Manchester City,14.05,17.24
Arsenal v Manchester City,First Half,20.00,Sergio AGUERO,Manchester City,13.98,17.40
Arsenal v Manchester City,First Half,20.10,Sergio AGUERO,Manchester City,13.92,17.57
Arsenal v Manchester City,First Half,20.20,Sergio AGUERO,Manchester City,13.85,17.71
Arsenal v Manchester City,First Half,20.30,Sergio AGUERO,Manchester City,13.76,17.82
Arsenal v Manchester City,First Half,20.40,Sergio AGUERO,Manchester City,13.67,17.91
Arsenal v Manchester City,First Half,20.50,Sergio AGUERO,Manchester City,13.57,17.97
